dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MedMCQA,general,medmcqa::validation::53,How is modified shock index represented as?,HR/MAP,MAP/HR,HR/SBP,HR/DBP,A,How is modified shock index represented as?
MedMCQA,general,medmcqa::validation::54,"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?",Spironolactone,Hydrocoisone administration,Broad spectrum antibiotics,Calcium gluconate,B,"A 3 week neonate with ambiguous genitalia presented with Na+ 127 meq/L, K+ 7.2 meq/L wit BP 52/24 mm Hg and he was managed with IV fluids. What is the next step of management?"
MedMCQA,general,medmcqa::validation::55,Base pairs in DNA,1.5 billion,46 billions,3.2 billion,100 billion,C,Base pairs in DNA
MedMCQA,general,medmcqa::validation::56,Which of the following is a solid solution?,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,C,Which of the following is a solid solution?
MedMCQA,general,medmcqa::validation::57,Tracheal secretions should be suctioned for:,10-15 seconds,60 seconds,30 seconds,3 minutes,A,Tracheal secretions should be suctioned for:
MedMCQA,general,medmcqa::validation::58,"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -",Vertical hemilaryngectomy,Horizontal partial hemilaryngectomy,Total laryngectomy,Radiotherapy followed by chemotherapy,A,"A patient presents with carcinoma of the larynx involving the left false cords, left arytenoid and the left aryepiglottic folds with bilateral mobile true cords. Treatment of choice is -"
MedMCQA,general,medmcqa::validation::59,Which of the following lipoproteins does not move towards charged end in electrophoresis?,VLDL,LDL,HDL,Chylomicrons,D,Which of the following lipoproteins does not move towards charged end in electrophoresis?
MedMCQA,general,medmcqa::validation::60,"A 60 years old male presented with fever, chills and dysuria. Patient was hospitalized in emergency for 5 days. PSA level was 7.4. Next best step in this patient:",Repeat PSA,TURP,TRUS guided biopsy,Antibiotics and admit,D,"A 60 years old male presented with fever, chills and dysuria. Patient was hospitalized in emergency for 5 days. PSA level was 7.4. Next best step in this patient:"
MedMCQA,general,medmcqa::validation::61,Name the structure marked with arrow,Mitochondria,Golgi bodies,Secretory vesicles,Rough Endoplasmic reticulum,C,Name the structure marked with arrow
MedMCQA,general,medmcqa::validation::62,"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?",Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,A,"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?"
MedMCQA,general,medmcqa::validation::63,"Iron is present in all, EXCEPT",Myoglobin,Cytochrome,Catalase,Pyruvate kinase,D,"Iron is present in all, EXCEPT"
MedMCQA,general,medmcqa::validation::64,The most common bone tumor that occurs in children is:,Osteosarcoma,Ewing's sarcoma,Metastatic carcinoma,Multiple myeloma,A,The most common bone tumor that occurs in children is:
MedMCQA,general,medmcqa::validation::65,"In a couple for treatment of infeility from the last four years, female paner is normal. Male paner has 0.8 ml semen volume per ejaculate on two repeated samples and absent fructose, with no sperms on examination under microscope. What is the next line of management?",Per-rectal examination to check ejaculatory duct obstruction,Give antioxidants,Testicular biopsy,Transrectal ultrasound to detect duct obstruction,D,"In a couple for treatment of infeility from the last four years, female paner is normal. Male paner has 0.8 ml semen volume per ejaculate on two repeated samples and absent fructose, with no sperms on examination under microscope. What is the next line of management?"
MedMCQA,general,medmcqa::validation::66,The zygomatic bone does not articulate with:,Frontal bone,Maxillary bone,Nasal bone,Temporal bone,C,The zygomatic bone does not articulate with:
MedMCQA,general,medmcqa::validation::67,Which of the following statements is true regarding medical aboion?,Ultrasound should be done in all cases,"If the patient has an IUCD in-situ, it doesn't need to be removed",Can only be done up to 72 days,Only a person ceified under MTP act can perform medical termination of pregnancy,D,Which of the following statements is true regarding medical aboion?
MedMCQA,general,medmcqa::validation::68,Calcium ions triggers muscle contraction by binding to:,Actin,Myosin,Troponin,Tropomyosin,C,Calcium ions triggers muscle contraction by binding to:
MedMCQA,general,medmcqa::validation::69,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?",HIV,HAV,HBV,HCV,B,"SD plasma destroys lipid enveloped virus. On SD plasma transfusion, which of the following infection is the likely possibility?"
MedMCQA,general,medmcqa::validation::70,"According to the intelligence quotient classification, a score of 90-110 is:",Low average.,Average,Superior,Mentally retarded.,B,"According to the intelligence quotient classification, a score of 90-110 is:"
MedMCQA,general,medmcqa::validation::71,"Due to which of the following enzyme deficiency, vitamin C cannot be synthesised in humans?",L-Glucuronic acid oxidase,L-Gulonic acid reductase,L-Gulonolactone oxidase,L-Gulonolactone reductase,C,"Due to which of the following enzyme deficiency, vitamin C cannot be synthesised in humans?"
MedMCQA,general,medmcqa::validation::72,In a patient of heart disease antibiotic prophylaxis for dental extraction is:,Amoxicillin.,Imipenem.,Gentamicin.,Erythromycin.,A,In a patient of heart disease antibiotic prophylaxis for dental extraction is:
MedMCQA,general,medmcqa::validation::73,"Which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?",Cohesive failure of ceramic,Adhesive failure of metal ceramic bond,Cohesive failure of metal,Cohesive failure of metal ceramic bond,B,"Which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?"
MedMCQA,general,medmcqa::validation::74,Anti monsoon curve seen in :,Premolar,Molar,Anterior,All of the above.,D,Anti monsoon curve seen in :
MedMCQA,general,medmcqa::validation::75,"A 10 years old child has lytic lesions in upper femur, the differential diagnosis can be all except :",Plasmacytoma,Browns tumour,Metastasis,Histiocytosis,A,"A 10 years old child has lytic lesions in upper femur, the differential diagnosis can be all except :"
MedMCQA,general,medmcqa::validation::76,During periradicular surgery bone is removed with?,Round burr,Double inverted cone burr,Fissure burr,Taper Burr,A,During periradicular surgery bone is removed with?
MedMCQA,general,medmcqa::validation::77,The primary function of the dental pulp is:,Nutritive,Production of dentin,Production of enamel,Vascular supply to the teeth,B,The primary function of the dental pulp is:
MedMCQA,general,medmcqa::validation::78,Which of the following increases callus formation:,Rigid immobilization,Movement at fracture site,Compression plating,Intraosseous nailing,B,Which of the following increases callus formation:
MedMCQA,general,medmcqa::validation::79,Child of Vasanthi was weaned from breast milk on the 5th day and was given sugarcane juice the child developed hypoglycemia and hepatomegaly biochemical examination showed hypophosphatemia and enzyme deficiencies–reducing substances in urine. The child is probably suffering from which of the following enzyme deficiencies –,Fructokinase,Aldolase B,Glucose 6 Phosphatase,Beta galactosidase,B,Child of Vasanthi was weaned from breast milk on the 5th day and was given sugarcane juice the child developed hypoglycemia and hepatomegaly biochemical examination showed hypophosphatemia and enzyme deficiencies–reducing substances in urine. The child is probably suffering from which of the following enzyme deficiencies –
MedMCQA,general,medmcqa::validation::80,Skeletal muscles,Contracts when calcium is taken up by sarcoplasmic reticulum,Contracts when actin and myosin filaments shorten,Contraction is initiated by calcium binding to troponin,Contraction is initiated by calcium binding to tropomyosin,C,Skeletal muscles
MedMCQA,general,medmcqa::validation::81,Which of the following is most effective for gluconeogenesis in starvation?,Acetyl Co-A stimulation of pyruvate carboxylase,"Fructose-1, 6-biphosphate stimulation of phosphofructokinase-1",Citrate stimulation of acetyl carboxylase,"Fructose-2, 6-biphosphate stimulation of phosphofructokinase-2",A,Which of the following is most effective for gluconeogenesis in starvation?
MedMCQA,general,medmcqa::validation::82,Which is not involved in iron metabolism?,Transthyretin,Ceruloplasmin,Hepcidin,Ferropoin,A,Which is not involved in iron metabolism?
MedMCQA,general,medmcqa::validation::83,A 14 year girl presented with absent thelarche.On examination uterus was present. Investigations showed high FSH. karyotype is XY.What is the probable diagnosis?,Gonadal dysgenesis,Kallman syndrome,Androgen insensitivity syndrome,Adrenal hyperplasia,A,A 14 year girl presented with absent thelarche.On examination uterus was present. Investigations showed high FSH. karyotype is XY.What is the probable diagnosis?
MedMCQA,general,medmcqa::validation::84,Reciprocal arm taper in,1 dimension,2 dimension,3 dimension,Not tapered,A,Reciprocal arm taper in
MedMCQA,general,medmcqa::validation::85,Bluegrass appliance is used to treat:,Thumb sucking.,Tongue thrusting.,Both,Mouth breathing.,C,Bluegrass appliance is used to treat:
MedMCQA,general,medmcqa::validation::86,On a primary 2nd molar caries occur most commonly on,Occlusal pit and fissures,Proximal caries below contact point,Buccal surface,Promixal caries above contact point,A,On a primary 2nd molar caries occur most commonly on
MedMCQA,general,medmcqa::validation::87,Waldeyer's lymphatic chain is formed by all except,Palatine tonsils,Pharyngeal tonsils,Tubal and lingual tonsils,Post auricular nodes,D,Waldeyer's lymphatic chain is formed by all except
MedMCQA,general,medmcqa::validation::88,"Polydactyly, craniosynostosis, Late closure of fontanelles is a feature of:",Apert's syndrome,Crouton's syndrome,Pierre robin syndrome,Down' syndrome,A,"Polydactyly, craniosynostosis, Late closure of fontanelles is a feature of:"
MedMCQA,general,medmcqa::validation::89,Physiological changes seen in laparoscopy include all except:,Increased ICP,Decreased FRC,Increased CVP,Increased pH,D,Physiological changes seen in laparoscopy include all except:
MedMCQA,general,medmcqa::validation::90,Which of the following nerve fibre types is least susceptible to LA blockade?,A beta,A alpha,B fibers,C fibers,B,Which of the following nerve fibre types is least susceptible to LA blockade?
MedMCQA,general,medmcqa::validation::91,"A child born with multiple congenital defect including cleft palate, neural tube defect, atrial septal defect and microcephaly which of the following drug is used by mother during pregnancy:",Erythromycin,Isotretinoin,Ibuprofen,Metronidazole,B,"A child born with multiple congenital defect including cleft palate, neural tube defect, atrial septal defect and microcephaly which of the following drug is used by mother during pregnancy:"
MedMCQA,general,medmcqa::validation::92,Incorporation of peripheral seal in an impression is necessary to obtain;,Stability,Functionally moulded periphery,Harmonious occlusion,Posterior palatal seal,B,Incorporation of peripheral seal in an impression is necessary to obtain;
MedMCQA,general,medmcqa::validation::93,Increase in height of mandible with increase in interdental spaces in elderly man,Hyperpituitarism,Hyperthyroidism,Hypopituitarism,Hyperparathyroidism,A,Increase in height of mandible with increase in interdental spaces in elderly man
MedMCQA,general,medmcqa::validation::94,A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given:,Ampicillin,Tetracycline,Erythromycin,Co-trimoxazole,C,A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given:
MedMCQA,general,medmcqa::validation::95,Modulus of elasticity means:,Rigidity or stiffness of the material,Ability to be stretched with permanent deformation,Ductility of a material,Malleability of the metal,A,Modulus of elasticity means:
MedMCQA,general,medmcqa::validation::96,Vwf factor is produced by:,Platelets,Endothelial cells,Neutrophils,Monocytes,B,Vwf factor is produced by:
MedMCQA,general,medmcqa::validation::97,Which of the following statement is false statement about snake-bites?,Anti-venom is not effective in humpnosed pit viper bite,Cobra venom is neurotoxic,Atropine premedication should be used before administering Neostigmine,Neostigmine has a role in krait bite.,D,Which of the following statement is false statement about snake-bites?
MedMCQA,general,medmcqa::validation::98,A prosthetic appliance given to cover the palatal defect in patients with cleft palate is called,Artificial velum,Obturator,Removable prosthetic appliance,None of the above,B,A prosthetic appliance given to cover the palatal defect in patients with cleft palate is called
MedMCQA,general,medmcqa::validation::99,Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except:,Mechanical barrier,Increased excretion of antibiotics,Altered metabolism,Adherence,D,Biofilm forming bacteria causes antimicrobial resist-ance by all of the following except:
MedMCQA,general,medmcqa::validation::100,Which of these drugs is an antidote for fibrinolytic therapy?,Epsilon aminocaproic acid,Protamine,Heparin,Streptokinase,A,Which of these drugs is an antidote for fibrinolytic therapy?
MedMCQA,general,medmcqa::validation::101,Which facial bone is most prone to fracture?,Mandible,Nasal,Zygoma,Frontal,B,Which facial bone is most prone to fracture?
MedMCQA,general,medmcqa::validation::102,"To check objective pain response, which is best used method",Facial pain scale,Knee jerk reflex,H - Reflex,R III Reflex,A,"To check objective pain response, which is best used method"
MedMCQA,general,medmcqa::validation::103,"A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause?",Hypothyroidism,Beckwith widman syndrome,Proteus syndrome,Hurler syndrome,D,"A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause?"
MedMCQA,general,medmcqa::validation::104,The resolution of IOPA is about:,10 Lp/mm,16 Lp/mm,28 Lp/mm,30 Lp/mm,B,The resolution of IOPA is about:
MedMCQA,general,medmcqa::validation::105,A patient diagnosed with carcinoma of lung presented with a serum calcium level of 16.4 mmol/L. What will be the first step in management?,IV fluids and furosemide,Immediate hemodialysis,Bisphosphonates,Chemotherapy with gemcitabine and carboplatin,A,A patient diagnosed with carcinoma of lung presented with a serum calcium level of 16.4 mmol/L. What will be the first step in management?
MedMCQA,general,medmcqa::validation::106,The following test may be abnormal in disseminated intravascular coagulation except:,Prothrombin,Activated partial thromboplastin time,D-timer levels,Clot solubility.,D,The following test may be abnormal in disseminated intravascular coagulation except:
MedMCQA,general,medmcqa::validation::107,In Xerostomia the salivary pH is:,Unaffected,Low,High,increased in morning & decreases in day,B,In Xerostomia the salivary pH is:
MedMCQA,general,medmcqa::validation::108,Which of the following is not true about stamp cusp?,Maintain vertical height of face,Facial incline might contact in MI,Sharp cusps and prominent ridges are present,Not recalled,C,Which of the following is not true about stamp cusp?
MedMCQA,general,medmcqa::validation::109,Sugar restricted to diet was beneficial in presence of unfavorable hygiene was from which study?,Hopewood,Experimental,Vipeholm,Turku,A,Sugar restricted to diet was beneficial in presence of unfavorable hygiene was from which study?
MedMCQA,general,medmcqa::validation::110,"Alginate at 20 degrees, the gel is formed in",3-4 mins.,6-8 mins.,15-16 mins.,1-2 min.,A,"Alginate at 20 degrees, the gel is formed in"
MedMCQA,general,medmcqa::validation::111,Most common tumor of lacrimal gland:,Trans-scaphoid perilunate fracture,Scaphoid fracture,Distal radius fracture,Hamate fracture,D,Most common tumor of lacrimal gland:
MedMCQA,general,medmcqa::validation::112,Percentage of carbon in carbon steel hand instruments is,1-1.2%,10-12%,0.6 to 0.8%,6 to 8%,A,Percentage of carbon in carbon steel hand instruments is
MedMCQA,general,medmcqa::validation::113,"Topical administration of I% Pilocarpine failed to produce pupillary constriction in a patient who had a large, dilated pupil What should be the most probable reason?",Adie's tonic pupil,Diabetic III nerve palsy,Pharmacological blockade,Uncal herniation,C,"Topical administration of I% Pilocarpine failed to produce pupillary constriction in a patient who had a large, dilated pupil What should be the most probable reason?"
