dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MMLU,clinical_knowledge,mmlu::clinical_knowledge::12,"During exercise, adrenaline secretion from the adrenal glands is stimulated by:",increased plasma glucose.,increased plasma fatty acids.,increased plasma ACTH.,increased sympathetic nerve activity.,D,"During exercise, adrenaline secretion from the adrenal glands is stimulated by:"
MMLU,clinical_knowledge,mmlu::clinical_knowledge::13,Which of the following is true of blackouts and dizziness?,Confusion following a blackout is strongly suggestive of a fit,Pre-syncope is another term for a blackout,An epileptic fit always leads to the loss of consciousness,In the investigation of a blackout a blood sugar estimation is of no value,A,Which of the following is true of blackouts and dizziness?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::14,Which of the following is true about abdominal pain?,Peptic ulcer pain is usually experienced in the hypogastrium,The pain of irritable bowel syndrome is usually well localised,The pain of oesophagitis is usually retrosternal in site,The pain of pancreatitis usually radiates to the groin,C,Which of the following is true about abdominal pain?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::15,The following are features of Alzheimer's disease except:,short-term memory loss.,confusion.,poor attention.,drowsiness.,D,The following are features of Alzheimer's disease except:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::16,Which of the following is true about radial nerve palsy?,The radial nerve arises from the lateral cord of the brachial plexus,It is associated with sensory loss over the medial half of the hand,It leads to wrist drop,It can occur due to a superficial laceration over the wrist,C,Which of the following is true about radial nerve palsy?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::17,How can several different proteins be produced from the same gene?,By selective transcription of different parts of the DNA in the gene.,By doubling or tripling the length of the mRNA molecule produced from the primary transcript.,"The primary transcripts of many genes can be spliced in various ways to produce different mRNAs, a process known as alternative RNA splicing.",By splicing of the mRNA molecule after it has been formed from the primary transcript.,C,How can several different proteins be produced from the same gene?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::18,How long can a long-term catheter stay in situ?,4 weeks.,7 weeks.,12 weeks.,20 weeks.,C,How long can a long-term catheter stay in situ?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::19,Stridor is described as:,A wheezing sound.,A gurgling sound.,A rattling sound.,A high-pitched sound.,D,Stridor is described as:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::20,What is cardiac output?,Stroke volume × heart rate.,Systemic vascular resistance × heart rate.,Blood pressure × heart rate.,Preload × stroke volume.,A,What is cardiac output?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::21,Which of the following is true about the assessment of gait?,A stamping gait is caused by bilateral foot drop,An antalgic gait is caused by a painful leg,A waddling gait is sometimes called a steppage gait,An apraxic gait is due to hysteria,B,Which of the following is true about the assessment of gait?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::22,What should be done after catheterization is carried out?,The patient should be thanked.,The patient should be advised when to drink.,Document catheterization in the patient's notes.,The patient should be washed.,C,What should be done after catheterization is carried out?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::23,In a patient with chest pain which of these features is most suggestive of a myocardial infarction?,Very severe pain,Sweating and vomiting,Pain has lasted for over a week,Pain is sharp like a knife,B,In a patient with chest pain which of these features is most suggestive of a myocardial infarction?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::24,In the assessment of visual fields which of the following is true?,A lesion at the optic chiasma leads to a homonymous hemianopia,Impulses from the retinal leave the eye via the optic radiation,An enlarged blind spot may occur because of papilloedema,The visual field examination maps out a patient's central vision,C,In the assessment of visual fields which of the following is true?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::25,Who set the world record for the mile race in 1886?,R Bannister,S Coe,J DiMaggio,WG George,D,Who set the world record for the mile race in 1886?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::26,What is erythema?,Inflammation of the sweat glands.,Redness of the skin due to congestion of the capillaries.,A form of skin infection.,Redness of the skin caused by pressure.,B,What is erythema?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::27,"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:",converted into arginine and released from the muscle.,converted into alanine and glutamine and released from the muscle.,converted into urea and released from the muscle.,used to synthesise purines and pyrimidines in the muscle.,B,"When branched chain amino acids are deaminated in muscle, the ammonia produced is mostly:"
MMLU,clinical_knowledge,mmlu::clinical_knowledge::28,Which of the following is true regarding the examination of the legs?,Sustained clonus occurs with hypotonia,Clonus can only be demonstrated at the ankle,"The root value of hip flexion is L4, L5",The root value of toe extension is L5,D,Which of the following is true regarding the examination of the legs?
MMLU,anatomy,mmlu::anatomy::0,Which of the following terms describes the body's ability to maintain its normal state?,Anabolism,Catabolism,Tolerance,Homeostasis,D,Which of the following terms describes the body's ability to maintain its normal state?
MMLU,anatomy,mmlu::anatomy::1,Which of the following structures travel through the substance of the parotid gland?,The maxillary artery,The maxillary artery and retromandibular vein,"The maxillary artery, retromandibular vein and facial artery","The maxillary artery, retromandibular vein, facial artery and buccal branch of the mandibular nerve",B,Which of the following structures travel through the substance of the parotid gland?
MMLU,anatomy,mmlu::anatomy::2,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,upper lobe of the lung.,middle lobe of the lung.,lower lobe of the lung.,costo-diaphragmatic recess.,C,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the
MMLU,anatomy,mmlu::anatomy::3,The maxillary sinus,is lined by stratified squamous epithelium.,drains into the superior meatus of the nasal cavities.,is innervated by branches of the maxillary division of the trigeminal nerve.,Receives its blood supply from the first part of the maxillary artery.,C,The maxillary sinus
MMLU,anatomy,mmlu::anatomy::4,Which of the following is flexible connective tissue that is attached to bones at the joints?,Adipose,Cartilage,Epithelial,Muscle,B,Which of the following is flexible connective tissue that is attached to bones at the joints?
MMLU,anatomy,mmlu::anatomy::5,Tonsillar tissue is commonly found,on the posterior wall of the oropharynx.,under the mucosa of the ventral surface of the tongue.,between the palatoglossal and palatopharyngeal folds.,at all three sites.,C,Tonsillar tissue is commonly found
MMLU,anatomy,mmlu::anatomy::6,The best place to listen to the general heart sound with a stethoscope is the,fifth left intercostal space in the midclavicular line.,second left intercostal space one inch from the sternum.,third left rib at its junction with the sternum.,sternum midway between the sternal angle and xiphisternum.,A,The best place to listen to the general heart sound with a stethoscope is the
MMLU,anatomy,mmlu::anatomy::7,Emissary veins connect the intracranial venous sinuses to,veins draining the scalp.,veins draining the eye.,the pterygoid venous plexus.,All of the above areas.,D,Emissary veins connect the intracranial venous sinuses to
MMLU,anatomy,mmlu::anatomy::8,Smooth muscle cells contain,actin but not myosin.,myosin but not actin.,actin and myosin arranged irregularly.,actin and myosin arranged in parallel arrays.,C,Smooth muscle cells contain
MMLU,anatomy,mmlu::anatomy::9,"Which of the following controls body temperature, sleep, and appetite?",Adrenal glands,Hypothalamus,Pancreas,Thalamus,B,"Which of the following controls body temperature, sleep, and appetite?"
MMLU,anatomy,mmlu::anatomy::10,Which one of the following is brought about by activation of sympathetic nerves?,Contraction of bronchial smooth muscle.,Dilation of the pupil of the eye.,Increase in intestinal secretion,Decrease in heart rate,B,Which one of the following is brought about by activation of sympathetic nerves?
MMLU,anatomy,mmlu::anatomy::11,The trachea,lies deep to the oesophagus.,lies superficial to the oesophagus.,is totally enclosed by cartilaginous rings.,divides at the thoracic inlet.,B,The trachea
MMLU,anatomy,mmlu::anatomy::12,Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the,first pharyngeal arch.,second pharyngeal arch.,third pharyngeal arch.,fourth pharyngeal arch.,C,Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the
MMLU,anatomy,mmlu::anatomy::13,A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus,at the base of the skull.,on the forehead.,in the cheeks.,between the eyes.,D,A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus
MMLU,college_medicine,mmlu::college_medicine::0,A student observes that mercury forms a convex meniscus in the graduated cylinder but that water forms a concave one. This behavior is best explained by the fact that:,the two liquids are being kept in graduated cylinders made of different materials.,the adhesive forces between water and the walls of the graduated cylinder are greater than the adhesive forces between the mercury and the walls of the graduated cylinder.,the cohesive forces between two mercury atoms are stronger than the cohesive forces between two water molecules.,"the mercury has strong cohesive than adhesive forces, whereas water has strong adhesive than cohesive ones.",D,A student observes that mercury forms a convex meniscus in the graduated cylinder but that water forms a concave one. This behavior is best explained by the fact that:
MMLU,college_medicine,mmlu::college_medicine::1,"Human beings require many outside resources in order to survive. An individual will not survive without water, air, etc. Thankfully, the human brain is wired to seek out these resources when they are depleted before harm occurs to the individual. The downside of this, however, is that they can produce too much reward, and become a temptation. Which of the following statements would mean a desire has become a temptation?",A person desiring to lose weight makes a late night snack to quell a craving.,A marathon runner seeks out water after finishing a race.,A free diver delays leaving the beach after a dive by a few minutes in order to regain their breath.,A person pauses their show on TV in order to grab a blanket because they are cold.,A,"Human beings require many outside resources in order to survive. An individual will not survive without water, air, etc. Thankfully, the human brain is wired to seek out these resources when they are depleted before harm occurs to the individual. The downside of this, however, is that they can produce too much reward, and become a temptation. Which of the following statements would mean a desire has become a temptation?"
MMLU,college_medicine,mmlu::college_medicine::2,How many chromosomes do all human somatic cells contain?,3,20,23,46,D,How many chromosomes do all human somatic cells contain?
MMLU,college_medicine,mmlu::college_medicine::3,In all-out exercise such as sprinting the first fibre types to fatigue are the:,Type I fibres.,Type Ia fibres.,Type IIa fibres.,Type IIX fibres.,D,In all-out exercise such as sprinting the first fibre types to fatigue are the:
MMLU,college_medicine,mmlu::college_medicine::4,The term gene doping refers to:,the use of drugs to modify gene transcription.,the use of genetic manipulation techniques to enhance performance in sport.,the activation or inhibition of genes to mask drug taking by athletes.,the use of drugs to modify the myostatin gene.,B,The term gene doping refers to:
MMLU,college_medicine,mmlu::college_medicine::5,"Which of the following would be the most accurate definition of Nietzsche’s Will to Truth?""",An intrinsic desire to know the truth.,Moral drive to act toward what is good.,A subset of our ego that acts towards what is right.,Our desire for love.,A,"Which of the following would be the most accurate definition of Nietzsche’s Will to Truth?"""
MMLU,college_medicine,mmlu::college_medicine::6,Which of the following physiological characteristics is not important for success in endurance events such as the marathon race?,The ability to regulate body temperature.,The ability to supply oxygen to the exercising muscles.,The availability of body stores of carbohydrate.,Muscle ATP and phosphocreatine content.,D,Which of the following physiological characteristics is not important for success in endurance events such as the marathon race?
MMLU,college_medicine,mmlu::college_medicine::7,"During exercise, adrenaline secretion from the adrenal glands is stimulated by:",increased plasma glucose.,increased plasma fatty acids.,increased plasma ACTH.,increased sympathetic nerve activity.,D,"During exercise, adrenaline secretion from the adrenal glands is stimulated by:"
MMLU,college_medicine,mmlu::college_medicine::8,"A young adult man begins seeing a therapist and tells the therapist that he has homosexual feelings, and that he self-identifies as gay. He is plagued by feelings of worthlessness and fears that he will be subject to what his religion terms “eternal damnation”. He feels alienated from his family and friends, as he knows of no other homosexuals in his peer group or family. In the course of working with the man, the therapist helps him see that his feelings are exceptionally common among people who have recently discovered their same-sex feelings, and encourages him to attend a support group for newly “out” gay men. The therapist’s approach demonstrates which of the following phenomena?",Stereotype threat,Groupthink,Universalization,Spatial discrimination,C,"A young adult man begins seeing a therapist and tells the therapist that he has homosexual feelings, and that he self-identifies as gay. He is plagued by feelings of worthlessness and fears that he will be subject to what his religion terms “eternal damnation”. He feels alienated from his family and friends, as he knows of no other homosexuals in his peer group or family. In the course of working with the man, the therapist helps him see that his feelings are exceptionally common among people who have recently discovered their same-sex feelings, and encourages him to attend a support group for newly “out” gay men. The therapist’s approach demonstrates which of the following phenomena?"
MMLU,college_medicine,mmlu::college_medicine::9,"A 1 meter tall jug of water, while sitting on a countertop 2 meters high with its lid open, springs a leak from a weak spot in the plastic at the very bottom of the side. How fast will water empty from the jug?",4.47 m/s,6.25 m/s,8.26 m/s,2.22 m/s,A,"A 1 meter tall jug of water, while sitting on a countertop 2 meters high with its lid open, springs a leak from a weak spot in the plastic at the very bottom of the side. How fast will water empty from the jug?"
MMLU,college_medicine,mmlu::college_medicine::10,The two principal contractile proteins found in skeletal muscle are:,actin and troponin.,actin and myosin.,troponin and tropomyosin.,myosin and tropomyosin.,B,The two principal contractile proteins found in skeletal muscle are:
MMLU,college_medicine,mmlu::college_medicine::11,"A psychology study run on a college campus was set up right outside of the gym on a weekday. Chocolate chip cookies were offered right outside the door, and then a sign was placed 15 feet further down the hall that asked people to avoid using the stairs, forcing them to go around in a longer hallway. There were no barriers to using the stairs other than the sign. The results returned, and it showed that individuals who took a sweet from the tray were twice as likely to use the longer hallway as individuals who refused. This is an example of what psychological concept?",Learned helplessness,Insecure attachment,Ego depletion,Tyranny of choice,C,"A psychology study run on a college campus was set up right outside of the gym on a weekday. Chocolate chip cookies were offered right outside the door, and then a sign was placed 15 feet further down the hall that asked people to avoid using the stairs, forcing them to go around in a longer hallway. There were no barriers to using the stairs other than the sign. The results returned, and it showed that individuals who took a sweet from the tray were twice as likely to use the longer hallway as individuals who refused. This is an example of what psychological concept?"
MMLU,college_medicine,mmlu::college_medicine::12,"Cystic Fibrosis (CF) patients often have a loss of pancreas activity during their adolescent years. Loss of which enzyme, if isolated would lead to the most extensive effects on nutrient absorption?",Lipase,Elastinogen,Trypsinogen,Carboxypeptidase,C,"Cystic Fibrosis (CF) patients often have a loss of pancreas activity during their adolescent years. Loss of which enzyme, if isolated would lead to the most extensive effects on nutrient absorption?"
MMLU,college_medicine,mmlu::college_medicine::13,"Somatic eukaryotic cells in the human body proceed normally through repetitive phases of the cell cycle in order to divide and make replicates of themselves. The point at which a cell commits to dividing is known as the restriction point (R). Prior to this, how many chromosomes and chromatids does the cell have?","23 chromosomes, 46 chromatids","46 chromosomes, 92 chromatids","23 chromosomes, 23 chromatids","46 chromosomes, 46 chromatids",D,"Somatic eukaryotic cells in the human body proceed normally through repetitive phases of the cell cycle in order to divide and make replicates of themselves. The point at which a cell commits to dividing is known as the restriction point (R). Prior to this, how many chromosomes and chromatids does the cell have?"
MMLU,college_medicine,mmlu::college_medicine::14,A person suffering from severe dehydration and starvation would NOT be expected to have elevated plasma concentrations for which of the following hormones?,ADH,Cortisol,Aldosterone,Insulin,D,A person suffering from severe dehydration and starvation would NOT be expected to have elevated plasma concentrations for which of the following hormones?
MMLU,college_medicine,mmlu::college_medicine::15,The recommended dose of creatine to load the muscles of a 70 kg man within one week is:,2 g/day.,5 g/day.,10 g/day.,20 g/day.,D,The recommended dose of creatine to load the muscles of a 70 kg man within one week is:
MMLU,college_medicine,mmlu::college_medicine::16,The creatine kinase reaction is:,irreversible.,slow compared with glycolysis.,not activated until all the ATP has been used up.,inhibited by low pH in the muscle.,D,The creatine kinase reaction is:
MMLU,college_medicine,mmlu::college_medicine::17,"A young woman comes to the clinic for feeling like her “heart is beating too fast”. When her pulse is recorded it is in normal range. Upon interview, you learn that she is often concerned about lots of things. In fact, she can’t remember many instances in which she has not had some event playing over and over in her head. She says that she often seeks out relationships to comfort her self-esteem, and admits she stays in these relationships too long for fear of being alone. What personality cluster would this person fall under?",Cluster A,Cluster B,Cluster C,This does not seem like a personality disorder.,C,"A young woman comes to the clinic for feeling like her “heart is beating too fast”. When her pulse is recorded it is in normal range. Upon interview, you learn that she is often concerned about lots of things. In fact, she can’t remember many instances in which she has not had some event playing over and over in her head. She says that she often seeks out relationships to comfort her self-esteem, and admits she stays in these relationships too long for fear of being alone. What personality cluster would this person fall under?"
MMLU,college_medicine,mmlu::college_medicine::18,An allele that is masked is referred to as:,recessive.,redundant.,repressed.,reclusive.,A,An allele that is masked is referred to as:
MMLU,college_medicine,mmlu::college_medicine::19,"In general, the higher the intensity of exercise, the greater the proportional contribution of:",aerobic energy production.,anaerobic energy production.,the TCA cycle (Krebs' cycle) to the production of ATP.,the electron transfer chain to the production of ATP.,B,"In general, the higher the intensity of exercise, the greater the proportional contribution of:"
MMLU,college_medicine,mmlu::college_medicine::20,The main factors determining success in sport are:,a high energy diet and large appetite.,high intelligence and motivation to succeed.,a good coach and the motivation to succeed.,innate ability and the capacity to respond to the training stimulus.,D,The main factors determining success in sport are:
MMLU,college_medicine,mmlu::college_medicine::21,The social phenomenon of groupthink is characterized by all of the following EXCEPT:,A significant over-rating of the decision-making abilities of members of the ingroup.,A decrease in the creativity of individual group members in contributing to solutions the ingroup wants to achieve.,High loyalty and group cohesiveness causing members to feel safe raising controversial issues and proposing alternative solutions.,An effort to minimize conflict and ensure consensus.,C,The social phenomenon of groupthink is characterized by all of the following EXCEPT:
MMLU,college_biology,mmlu::college_biology::0,Which of the following is the most direct cause of polyteny in somatic cells of certain organisms?,RNA transcription,Supercoiling of chromatin,Chromosome replication without cell division,Chromosome recombination,C,Which of the following is the most direct cause of polyteny in somatic cells of certain organisms?
MMLU,college_biology,mmlu::college_biology::1,All of the following statements about muscle contraction are true EXCEPT:,The ends of actin filaments move closer together.,The length of myosin filaments does not change.,Calcium-troponin binding precedes actin-myosin binding.,Calcium-tropomyosin binding precedes actin-myosin binding.,D,All of the following statements about muscle contraction are true EXCEPT:
MMLU,college_biology,mmlu::college_biology::2,Short-term changes in plant growth rate mediated by the plant hormone auxin are hypothesized to result from,loss of turgor pressure in the affected cells,increased extensibility of the walls of affected cells,suppression of metabolic activity in affected cells,cytoskeletal rearrangements in the affected cells,B,Short-term changes in plant growth rate mediated by the plant hormone auxin are hypothesized to result from
MMLU,college_biology,mmlu::college_biology::3,RNA is thought to have played an important role in the evolution of life for which of the following reasons? I. It occurred in great quantities on early Earth. II. It can self-replicate via a complementary chain. III. It can catalyze some cellular functions.,I only,II only,III only,II and III,D,RNA is thought to have played an important role in the evolution of life for which of the following reasons? I. It occurred in great quantities on early Earth. II. It can self-replicate via a complementary chain. III. It can catalyze some cellular functions.
MMLU,college_biology,mmlu::college_biology::4,"An organism with a lobed thallus, rhizoids, and gemmae is a",moss,liverwort,fern,mushroom,B,"An organism with a lobed thallus, rhizoids, and gemmae is a"
MMLU,college_biology,mmlu::college_biology::5,"One hypothesis posed by evolutionary biologists to account for an organism's altruistic behavior in social groups is that of kin selection. According to the kin selection theory, the risk incurred by a bird that sounds an alarm call due to a nearby predator may be offset by the fact that",the alarm call induces the predator to abandon its hunt,the alarm call allows the bird to gain protection at the center of a flock,the alarm call will benefit those members with whom the bird shares a percentage of its genes,the bird will gain the same early warning advantage from another member of the flock at a future time,C,"One hypothesis posed by evolutionary biologists to account for an organism's altruistic behavior in social groups is that of kin selection. According to the kin selection theory, the risk incurred by a bird that sounds an alarm call due to a nearby predator may be offset by the fact that"
MMLU,college_biology,mmlu::college_biology::6,"A plant that possesses swimming sperm, xylem with tracheids, independent gametophyte and sporophyte phases, and no seeds is probably most closely related to",mosses,pines,ferns,liverworts,C,"A plant that possesses swimming sperm, xylem with tracheids, independent gametophyte and sporophyte phases, and no seeds is probably most closely related to"
MMLU,college_biology,mmlu::college_biology::7,Which of the following is NOT a characteristic of an oligotrophic lake?,Low nutrient levels,High altitudes,Shallow water,Sand or gravel bottom,C,Which of the following is NOT a characteristic of an oligotrophic lake?
MMLU,college_biology,mmlu::college_biology::8,Evidence that sea urchins are more closely related to frogs than they are to snails is that echinoderms and chordates share which of the following embryological features?,An embryonic notochord disappears by the adult stage.,Larvae undergo metamorphosis.,Early embryos are unable to compensate for missing cells.,The pore that forms the mouth develops after the pore that forms the anus.,D,Evidence that sea urchins are more closely related to frogs than they are to snails is that echinoderms and chordates share which of the following embryological features?
MMLU,college_biology,mmlu::college_biology::9,Which of the following is NOT a correct statement concerning elastin?,It is a component of large blood vessels.,Its secondary structure consists primarily of alpha helices.,It is secreted into the extracellular matrix of tissues.,It is a globular protein found in connective tissue.,D,Which of the following is NOT a correct statement concerning elastin?
MMLU,college_biology,mmlu::college_biology::10,"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that",intestinal cells can be transformed into all cell types,frogs do not have the same developmental constraints as other species,intestinal cell nuclei are highly specialized,the genomes of all somatic cells are equivalent,D,"In cloning experiments on the frog Xenopus laevis, nuclei were removed from intestinal cells of tadpoles and transplanted into zygotes whose nuclei had been removed. A small percent of these zygotes developed into normal frogs, suggesting that"
MMLU,college_biology,mmlu::college_biology::11,Which of the following sets of reactions occurs in the stroma of the chloroplast in plant cells?,Calvin cycle,Krebs cycle,Fermentation,Decarboxylation,A,Which of the following sets of reactions occurs in the stroma of the chloroplast in plant cells?
MMLU,college_biology,mmlu::college_biology::12,Which of the following provides visual evidence of genetic recombination during meiosis?,Centromeres,Synaptonemal complexes,Haploid nuclei,Chiasmata,D,Which of the following provides visual evidence of genetic recombination during meiosis?
MMLU,college_biology,mmlu::college_biology::13,Which of the following occurred first during the separation of the elements of Pangaea through continental drift?,Gondwana and Laurasia were formed.,Africa separated from South America.,India collided with Eurasia to form the Himalayan mountain chain.,Australia separated from the rest of the continental landmasses.,A,Which of the following occurred first during the separation of the elements of Pangaea through continental drift?
MMLU,college_biology,mmlu::college_biology::14,Which of the following traits do prokaryotes and eukaryotes have in common?,A single chromosome carries the entire genome.,Chromosomes are circular.,Replication is bidirectional.,Molecular weight of respective DNA is comparable.,C,Which of the following traits do prokaryotes and eukaryotes have in common?
MMLU,college_biology,mmlu::college_biology::15,All of the following are required procedures in order to clone specific mRNA molecules EXCEPT,extracting mRNA from cells,cleaving the full genome of a cell into fragments,creating a cDNA molecule,converting single-stranded cDNA into double-stranded cDNA,B,All of the following are required procedures in order to clone specific mRNA molecules EXCEPT
MMLU,medical_genetics,mmlu::medical_genetics::0,The allele associated with sickle cell anemia apparently reached a high frequency in some human populations due to:,random mating,superior fitness of heterozygotes in areas where malaria was present,migration of individuals with the allele into other populations,a high mutation rate at that specific gene,B,The allele associated with sickle cell anemia apparently reached a high frequency in some human populations due to:
MMLU,medical_genetics,mmlu::medical_genetics::1,RFLP analysis is a technique that,uses hybridization to detect specific DNA restriction fragments in genomic DNA,is used to determine whether a gene is transcribed in specific cells,measures the transfer frequency of genes during conjugation,is used to detect genetic variation at the protein level,A,RFLP analysis is a technique that
MMLU,medical_genetics,mmlu::medical_genetics::2,"Repeat core sequences consisting of 2, 3, or 4 base pairs are known as what?",Single nucleotide polymorphisms (SNPs),Microsatellites,Minisatellites,Satellites,B,"Repeat core sequences consisting of 2, 3, or 4 base pairs are known as what?"
MMLU,medical_genetics,mmlu::medical_genetics::3,Marfan syndrome is caused by mutations in the gene which encodes _______.,Collagen,Dystrophin,Elastin,Fibrillin,D,Marfan syndrome is caused by mutations in the gene which encodes _______.
MMLU,medical_genetics,mmlu::medical_genetics::4,If an autosomal recessive disorder which shows Hardy-Weinberg equilibrium has an incidence of 1 in 6400 then the frequency of carriers is approximately _______.,1 in 20,1 in 40,1 in 80,1 in 160,B,If an autosomal recessive disorder which shows Hardy-Weinberg equilibrium has an incidence of 1 in 6400 then the frequency of carriers is approximately _______.
MMLU,medical_genetics,mmlu::medical_genetics::5,Tracing of a cell lineage during development means that,the cells giving rise to and derived from a specific cell are known,the sequence of the enhancers for developmental genes is known,the regulatory genes for the organism have been genetically mapped,cell components in the membrane involved in signaling have been isolated,A,Tracing of a cell lineage during development means that
MMLU,medical_genetics,mmlu::medical_genetics::6,Mutations which occur in body cells which do not go on to form gametes can be classified as:,auxotrophic mutations,somatic mutations,morphological mutations,oncogenes,B,Mutations which occur in body cells which do not go on to form gametes can be classified as:
MMLU,medical_genetics,mmlu::medical_genetics::7,"Assuming that the level of glucose is low, a mutation in the repressor of the lac operon in E. coli, preventing binding of the repressor to the operator, should result in:",constitutive expression of the lac operon genes,lack of expression or reduced expression of the lac operon genes under all circumstances,expression of the genes only when lactose is present,expression of the genes only when lactose is absent,A,"Assuming that the level of glucose is low, a mutation in the repressor of the lac operon in E. coli, preventing binding of the repressor to the operator, should result in:"
MMLU,medical_genetics,mmlu::medical_genetics::8,The “sticky ends” generated by restriction enzymes allow,selection for plasmids lacking antibiotic resistance,pieces of DNA from different sources to hybridize to each other and to be joined together,replication of transfer RNA within the bacterial cell,easy identification of plasmids which carry an insert,B,The “sticky ends” generated by restriction enzymes allow
MMLU,medical_genetics,mmlu::medical_genetics::9,The presence of an extra digit is referred to as __________.,arachnodactyly,brachydactyly,clinodactyly,polydactyly,D,The presence of an extra digit is referred to as __________.
MMLU,medical_genetics,mmlu::medical_genetics::10,Which of the following statements about heritability are true?,is a measure of the level of heterozygotes in a population,is a measure of the proportion of variation that is due to genetic causes,is a measure of proportion of repeated DNA in an organism,is a measure of level of gene linkage,B,Which of the following statements about heritability are true?
